flow_id,timestamp,src_ip,src_port,dst_ip,dst_port,protocol,duration,packets_numbers,receiving_packets_numbers,sending_packets_numbers,total_bytes,receiving_bytes,sending_bytes,packets_rate,packets_len_rate,min_packets_len,max_packets_len,mean_packets_len,standard_deviation_packets_len,variance_packets_len,coefficient_of_variation_packets_len,dns_domain_name,dns_top_level_domain,dns_second_level_domain,dns_domain_name_length,dns_subdomain_name_length,uni_gram_domain_name,bi_gram_domain_name,tri_gram_domain_name,numerical_percentage,character_distribution,character_entropy,max_continuous_numeric_len,max_continuous_alphabet_len,max_continuous_consonants_len,max_continuous_same_alphabet_len,vowels_consonant_ratio,conv_freq_vowels_consonants,distinct_ttl_values,ttl_values_min,ttl_values_max,ttl_values_mean,ttl_values_mode,ttl_values_median,distinct_A_records,distinct_NS_records,ans_resource_record_type,ans_resource_record_class,label
2024-12-12 14:49:43.713492_192.168.0.164_62587_192.168.0.1_53_31552,2024-12-12 14:49:43.713492,192.168.0.164,62587,192.168.0.1,53,DNS,0.02885,2,1,1,230,107,123,69.32848,7972.77575,107,123,115.00000,8.00000,64.00000,0.06957,vxzaaaathwp1njvnabdou50073s1i4na.api.daumel.xyz.,xyz,daumel.xyz,48,32,"['v', 'x', 'z', 'a', 'a', 'a', 'a', 't', 'h', 'w', 'p', '1', 'n', 'j', 'v', 'n', 'a', 'b', 'd', 'o', 'u', '5', '0', '0', '7', '3', 's', '1', 'i', '4', 'n', 'a', '.', 'a', 'p', 'i', '.', 'd', 'a', 'u', 'm', 'e', 'l', '.', 'x', 'y', 'z', '.']","['vx', 'xz', 'za', 'aa', 'aa', 'aa', 'at', 'th', 'hw', 'wp', 'p1', '1n', 'nj', 'jv', 'vn', 'na', 'ab', 'bd', 'do', 'ou', 'u5', '50', '00', '07', '73', '3s', 's1', '1i', 'i4', '4n', 'na', 'a.', '.a', 'ap', 'pi', 'i.', '.d', 'da', 'au', 'um', 'me', 'el', 'l.', '.x', 'xy', 'yz', 'z.']","['vxz', 'xza', 'zaa', 'aaa', 'aaa', 'aat', 'ath', 'thw', 'hwp', 'wp1', 'p1n', '1nj', 'njv', 'jvn', 'vna', 'nab', 'abd', 'bdo', 'dou', 'ou5', 'u50', '500', '007', '073', '73s', '3s1', 's1i', '1i4', 'i4n', '4na', 'na.', 'a.a', '.ap', 'api', 'pi.', 'i.d', '.da', 'dau', 'aum', 'ume', 'mel', 'el.', 'l.x', '.xy', 'xyz', 'yz.']",0.16666666666666666,"{'o': 1, '0': 2, '5': 1, 'm': 1, 'j': 1, 'n': 3, 'w': 1, '.': 4, 'b': 1, 's': 1, 'h': 1, '3': 1, 'y': 1, 'u': 2, 'd': 2, 'i': 2, 'e': 1, 'p': 2, '1': 2, 'x': 2, '4': 1, 'z': 2, 'v': 2, '7': 1, 'a': 8, 't': 1, 'l': 1}",4.444235677759418,5,11,4,4,0.6363636363636364,0.2765957446808511,1,60,60,60.00000,60.00000,60.00000,1,0,[1],[1],Malicious
2024-12-12 14:50:26.008989_192.168.0.164_55200_192.168.0.1_53_8670,2024-12-12 14:50:26.008989,192.168.0.164,55200,192.168.0.1,53,DNS,0.03074,2,1,1,224,104,120,65.07236,7288.10426,104,120,112.00000,8.00000,64.00000,0.07143,cag77j1rtfq6fnrbbq7twcca774nz.api.daumel.xyz.,xyz,daumel.xyz,45,29,"['c', 'a', 'g', '7', '7', 'j', '1', 'r', 't', 'f', 'q', '6', 'f', 'n', 'r', 'b', 'b', 'q', '7', 't', 'w', 'c', 'c', 'a', '7', '7', '4', 'n', 'z', '.', 'a', 'p', 'i', '.', 'd', 'a', 'u', 'm', 'e', 'l', '.', 'x', 'y', 'z', '.']","['ca', 'ag', 'g7', '77', '7j', 'j1', '1r', 'rt', 'tf', 'fq', 'q6', '6f', 'fn', 'nr', 'rb', 'bb', 'bq', 'q7', '7t', 'tw', 'wc', 'cc', 'ca', 'a7', '77', '74', '4n', 'nz', 'z.', '.a', 'ap', 'pi', 'i.', '.d', 'da', 'au', 'um', 'me', 'el', 'l.', '.x', 'xy', 'yz', 'z.']","['cag', 'ag7', 'g77', '77j', '7j1', 'j1r', '1rt', 'rtf', 'tfq', 'fq6', 'q6f', '6fn', 'fnr', 'nrb', 'rbb', 'bbq', 'bq7', 'q7t', '7tw', 'twc', 'wcc', 'cca', 'ca7', 'a77', '774', '74n', '4nz', 'nz.', 'z.a', '.ap', 'api', 'pi.', 'i.d', '.da', 'dau', 'aum', 'ume', 'mel', 'el.', 'l.x', '.xy', 'xyz', 'yz.']",0.17777777777777778,"{'r': 2, 'm': 1, 'n': 2, 'w': 1, 'j': 1, 'f': 2, '.': 4, 'b': 2, 'c': 3, 'q': 2, '6': 1, 'y': 1, 'u': 1, 'd': 1, 'i': 1, 'e': 1, 'p': 1, '1': 1, 'x': 1, '4': 1, 'z': 2, '7': 5, 'g': 1, 'a': 4, 't': 2, 'l': 1}",4.461530252405225,3,6,6,2,0.2692307692307692,0.2558139534883721,1,60,60,60.00000,60.00000,60.00000,1,0,[1],[1],Malicious
2024-12-12 14:51:39.897013_192.168.0.164_55201_192.168.0.1_53_11910,2024-12-12 14:51:39.897013,192.168.0.164,55201,192.168.0.1,53,DNS,0.02823,2,1,1,224,104,120,70.85631,7935.90702,104,120,112.00000,8.00000,64.00000,0.07143,crb66pt6swsyvxb6b4lxtbl8764nu.api.daumel.xyz.,xyz,daumel.xyz,45,29,"['c', 'r', 'b', '6', '6', 'p', 't', '6', 's', 'w', 's', 'y', 'v', 'x', 'b', '6', 'b', '4', 'l', 'x', 't', 'b', 'l', '8', '7', '6', '4', 'n', 'u', '.', 'a', 'p', 'i', '.', 'd', 'a', 'u', 'm', 'e', 'l', '.', 'x', 'y', 'z', '.']","['cr', 'rb', 'b6', '66', '6p', 'pt', 't6', '6s', 'sw', 'ws', 'sy', 'yv', 'vx', 'xb', 'b6', '6b', 'b4', '4l', 'lx', 'xt', 'tb', 'bl', 'l8', '87', '76', '64', '4n', 'nu', 'u.', '.a', 'ap', 'pi', 'i.', '.d', 'da', 'au', 'um', 'me', 'el', 'l.', '.x', 'xy', 'yz', 'z.']","['crb', 'rb6', 'b66', '66p', '6pt', 'pt6', 't6s', '6sw', 'sws', 'wsy', 'syv', 'yvx', 'vxb', 'xb6', 'b6b', '6b4', 'b4l', '4lx', 'lxt', 'xtb', 'tbl', 'bl8', 'l87', '876', '764', '64n', '4nu', 'nu.', 'u.a', '.ap', 'api', 'pi.', 'i.d', '.da', 'dau', 'aum', 'ume', 'mel', 'el.', 'l.x', '.xy', 'xyz', 'yz.']",0.2,"{'r': 1, 'm': 1, 'n': 1, 'w': 1, '.': 4, 'b': 4, 's': 2, 'c': 1, '6': 5, 'y': 2, 'u': 2, 'd': 1, 'i': 1, 'e': 1, 'p': 2, 'x': 3, '4': 2, 'z': 1, 'v': 1, '7': 1, '8': 1, 'a': 2, 't': 2, 'l': 3}",4.355866085690481,4,7,7,1,0.23076923076923078,0.18181818181818182,1,60,60,60.00000,60.00000,60.00000,1,0,[1],[1],Malicious
2024-12-12 14:52:25.488929_192.168.0.164_63062_192.168.0.1_53_3753,2024-12-12 14:52:25.488929,192.168.0.164,63062,192.168.0.1,53,DNS,0.03167,2,1,1,224,104,120,63.14155,7071.85404,104,120,112.00000,8.00000,64.00000,0.07143,h6bjhjpm7h99u0vnz97uzhiqp54np.api.daumel.xyz.,xyz,daumel.xyz,45,29,"['h', '6', 'b', 'j', 'h', 'j', 'p', 'm', '7', 'h', '9', '9', 'u', '0', 'v', 'n', 'z', '9', '7', 'u', 'z', 'h', 'i', 'q', 'p', '5', '4', 'n', 'p', '.', 'a', 'p', 'i', '.', 'd', 'a', 'u', 'm', 'e', 'l', '.', 'x', 'y', 'z', '.']","['h6', '6b', 'bj', 'jh', 'hj', 'jp', 'pm', 'm7', '7h', 'h9', '99', '9u', 'u0', '0v', 'vn', 'nz', 'z9', '97', '7u', 'uz', 'zh', 'hi', 'iq', 'qp', 'p5', '54', '4n', 'np', 'p.', '.a', 'ap', 'pi', 'i.', '.d', 'da', 'au', 'um', 'me', 'el', 'l.', '.x', 'xy', 'yz', 'z.']","['h6b', '6bj', 'bjh', 'jhj', 'hjp', 'jpm', 'pm7', 'm7h', '7h9', 'h99', '99u', '9u0', 'u0v', '0vn', 'vnz', 'nz9', 'z97', '97u', '7uz', 'uzh', 'zhi', 'hiq', 'iqp', 'qp5', 'p54', '54n', '4np', 'np.', 'p.a', '.ap', 'api', 'pi.', 'i.d', '.da', 'dau', 'aum', 'ume', 'mel', 'el.', 'l.x', '.xy', 'xyz', 'yz.']",0.2,"{'0': 1, '5': 1, 'm': 2, 'n': 2, 'j': 2, '.': 4, 'b': 1, 'h': 4, 'q': 1, '6': 1, 'y': 1, 'u': 3, 'd': 1, 'i': 2, 'e': 1, 'p': 4, 'x': 1, '4': 1, '9': 3, 'z': 3, 'v': 1, '7': 2, 'a': 2, 'l': 1}",4.374860596185445,2,6,6,1,0.3333333333333333,0.2558139534883721,1,60,60,60.00000,60.00000,60.00000,1,0,[1],[1],Malicious
2024-12-12 14:53:14.042286_192.168.0.164_63063_192.168.0.1_53_23087,2024-12-12 14:53:14.042286,192.168.0.164,63063,192.168.0.1,53,DNS,0.02749,2,1,1,224,104,120,72.74264,8147.17519,104,120,112.00000,8.00000,64.00000,0.07143,hy8khxpsn9esoc8zaq3b0mt1lk4ng.api.daumel.xyz.,xyz,daumel.xyz,45,29,"['h', 'y', '8', 'k', 'h', 'x', 'p', 's', 'n', '9', 'e', 's', 'o', 'c', '8', 'z', 'a', 'q', '3', 'b', '0', 'm', 't', '1', 'l', 'k', '4', 'n', 'g', '.', 'a', 'p', 'i', '.', 'd', 'a', 'u', 'm', 'e', 'l', '.', 'x', 'y', 'z', '.']","['hy', 'y8', '8k', 'kh', 'hx', 'xp', 'ps', 'sn', 'n9', '9e', 'es', 'so', 'oc', 'c8', '8z', 'za', 'aq', 'q3', '3b', 'b0', '0m', 'mt', 't1', '1l', 'lk', 'k4', '4n', 'ng', 'g.', '.a', 'ap', 'pi', 'i.', '.d', 'da', 'au', 'um', 'me', 'el', 'l.', '.x', 'xy', 'yz', 'z.']","['hy8', 'y8k', '8kh', 'khx', 'hxp', 'xps', 'psn', 'sn9', 'n9e', '9es', 'eso', 'soc', 'oc8', 'c8z', '8za', 'zaq', 'aq3', 'q3b', '3b0', 'b0m', '0mt', 'mt1', 't1l', '1lk', 'lk4', 'k4n', '4ng', 'ng.', 'g.a', '.ap', 'api', 'pi.', 'i.d', '.da', 'dau', 'aum', 'ume', 'mel', 'el.', 'l.x', '.xy', 'xyz', 'yz.']",0.15555555555555556,"{'o': 1, '0': 1, 'm': 2, 'n': 2, '.': 4, 'b': 1, 's': 2, 'c': 1, 'h': 2, '3': 1, 'q': 1, 'y': 2, 'u': 1, 'd': 1, 'k': 2, 'i': 1, 'e': 2, 'p': 2, '1': 1, 'x': 2, '4': 1, '9': 1, 'z': 2, 'g': 1, '8': 2, 'a': 3, 't': 1, 'l': 2}",4.675077818503821,1,6,6,1,0.3076923076923077,0.3023255813953488,1,60,60,60.00000,60.00000,60.00000,1,0,[1],[1],Malicious
2024-12-12 14:53:55.113968_192.168.0.164_59349_192.168.0.1_53_61966,2024-12-12 14:53:55.113968,192.168.0.164,59349,192.168.0.1,53,DNS,0.02928,2,1,1,224,104,120,68.31726,7651.53309,104,120,112.00000,8.00000,64.00000,0.07143,l5qvlseeg441iieeg4411y6cc84nn.api.daumel.xyz.,xyz,daumel.xyz,45,29,"['l', '5', 'q', 'v', 'l', 's', 'e', 'e', 'g', '4', '4', '1', 'i', 'i', 'e', 'e', 'g', '4', '4', '1', '1', 'y', '6', 'c', 'c', '8', '4', 'n', 'n', '.', 'a', 'p', 'i', '.', 'd', 'a', 'u', 'm', 'e', 'l', '.', 'x', 'y', 'z', '.']","['l5', '5q', 'qv', 'vl', 'ls', 'se', 'ee', 'eg', 'g4', '44', '41', '1i', 'ii', 'ie', 'ee', 'eg', 'g4', '44', '41', '11', '1y', 'y6', '6c', 'cc', 'c8', '84', '4n', 'nn', 'n.', '.a', 'ap', 'pi', 'i.', '.d', 'da', 'au', 'um', 'me', 'el', 'l.', '.x', 'xy', 'yz', 'z.']","['l5q', '5qv', 'qvl', 'vls', 'lse', 'see', 'eeg', 'eg4', 'g44', '441', '41i', '1ii', 'iie', 'iee', 'eeg', 'eg4', 'g44', '441', '411', '11y', '1y6', 'y6c', '6cc', 'cc8', 'c84', '84n', '4nn', 'nn.', 'n.a', '.ap', 'api', 'pi.', 'i.d', '.da', 'dau', 'aum', 'ume', 'mel', 'el.', 'l.x', '.xy', 'xyz', 'yz.']",0.24444444444444444,"{'5': 1, 'm': 1, 'n': 2, '.': 4, 's': 1, 'c': 2, 'q': 1, '6': 1, 'y': 2, 'u': 1, 'd': 1, 'i': 3, 'e': 5, 'p': 1, '1': 3, 'x': 1, '4': 5, 'z': 1, 'v': 1, 'g': 2, '8': 1, 'a': 2, 'l': 3}",4.258876575099364,4,7,4,2,0.5789473684210527,0.2558139534883721,1,60,60,60.00000,60.00000,60.00000,1,0,[1],[1],Malicious
2024-12-12 14:54:57.942219_192.168.0.164_49179_192.168.0.1_53_888,2024-12-12 14:54:57.942219,192.168.0.164,49179,192.168.0.1,53,DNS,0.02865,2,1,1,224,104,120,69.81547,7819.33266,104,120,112.00000,8.00000,64.00000,0.07143,f3hy3yun8t04ttjoapidyfq8by4nv.api.daumel.xyz.,xyz,daumel.xyz,45,29,"['f', '3', 'h', 'y', '3', 'y', 'u', 'n', '8', 't', '0', '4', 't', 't', 'j', 'o', 'a', 'p', 'i', 'd', 'y', 'f', 'q', '8', 'b', 'y', '4', 'n', 'v', '.', 'a', 'p', 'i', '.', 'd', 'a', 'u', 'm', 'e', 'l', '.', 'x', 'y', 'z', '.']","['f3', '3h', 'hy', 'y3', '3y', 'yu', 'un', 'n8', '8t', 't0', '04', '4t', 'tt', 'tj', 'jo', 'oa', 'ap', 'pi', 'id', 'dy', 'yf', 'fq', 'q8', '8b', 'by', 'y4', '4n', 'nv', 'v.', '.a', 'ap', 'pi', 'i.', '.d', 'da', 'au', 'um', 'me', 'el', 'l.', '.x', 'xy', 'yz', 'z.']","['f3h', '3hy', 'hy3', 'y3y', '3yu', 'yun', 'un8', 'n8t', '8t0', 't04', '04t', '4tt', 'ttj', 'tjo', 'joa', 'oap', 'api', 'pid', 'idy', 'dyf', 'yfq', 'fq8', 'q8b', '8by', 'by4', 'y4n', '4nv', 'nv.', 'v.a', '.ap', 'api', 'pi.', 'i.d', '.da', 'dau', 'aum', 'ume', 'mel', 'el.', 'l.x', '.xy', 'xyz', 'yz.']",0.15555555555555556,"{'o': 1, '0': 1, 'm': 1, 'j': 1, 'n': 2, 'f': 2, '.': 4, 'b': 1, 'h': 1, '3': 2, 'q': 1, 'y': 5, 'u': 2, 'd': 2, 'i': 2, 'e': 1, 'p': 2, 'x': 1, '4': 2, 'z': 1, 'v': 1, '8': 2, 'a': 3, 't': 3, 'l': 1}",4.44475497457937,2,11,4,2,0.36,0.32558139534883723,1,60,60,60.00000,60.00000,60.00000,1,0,[1],[1],Malicious
2024-12-12 14:56:05.158961_192.168.0.164_56115_192.168.0.1_53_42954,2024-12-12 14:56:05.158961,192.168.0.164,56115,192.168.0.1,53,DNS,0.02675,2,1,1,224,104,120,74.75811,8372.90880,104,120,112.00000,8.00000,64.00000,0.07143,h0cd0z11wvknzr2md7kndsqbsd4n2.api.daumel.xyz.,xyz,daumel.xyz,45,29,"['h', '0', 'c', 'd', '0', 'z', '1', '1', 'w', 'v', 'k', 'n', 'z', 'r', '2', 'm', 'd', '7', 'k', 'n', 'd', 's', 'q', 'b', 's', 'd', '4', 'n', '2', '.', 'a', 'p', 'i', '.', 'd', 'a', 'u', 'm', 'e', 'l', '.', 'x', 'y', 'z', '.']","['h0', '0c', 'cd', 'd0', '0z', 'z1', '11', '1w', 'wv', 'vk', 'kn', 'nz', 'zr', 'r2', '2m', 'md', 'd7', '7k', 'kn', 'nd', 'ds', 'sq', 'qb', 'bs', 'sd', 'd4', '4n', 'n2', '2.', '.a', 'ap', 'pi', 'i.', '.d', 'da', 'au', 'um', 'me', 'el', 'l.', '.x', 'xy', 'yz', 'z.']","['h0c', '0cd', 'cd0', 'd0z', '0z1', 'z11', '11w', '1wv', 'wvk', 'vkn', 'knz', 'nzr', 'zr2', 'r2m', '2md', 'md7', 'd7k', '7kn', 'knd', 'nds', 'dsq', 'sqb', 'qbs', 'bsd', 'sd4', 'd4n', '4n2', 'n2.', '2.a', '.ap', 'api', 'pi.', 'i.d', '.da', 'dau', 'aum', 'ume', 'mel', 'el.', 'l.x', '.xy', 'xyz', 'yz.']",0.17777777777777778,"{'0': 2, 'r': 1, 'm': 2, 'n': 3, 'w': 1, '.': 4, 'b': 1, 's': 2, 'c': 1, 'h': 1, 'q': 1, 'y': 1, 'u': 1, 'd': 5, 'k': 2, 'i': 1, 'e': 1, '2': 2, 'p': 1, '1': 2, 'x': 1, '4': 1, 'z': 3, 'v': 1, '7': 1, 'a': 2, 'l': 1}",4.533643863468258,2,8,8,1,0.17857142857142858,0.1590909090909091,1,60,60,60.00000,60.00000,60.00000,1,0,[1],[1],Malicious
2024-12-12 14:57:09.113296_192.168.0.164_56116_192.168.0.1_53_62930,2024-12-12 14:57:09.113296,192.168.0.164,56116,192.168.0.1,53,DNS,0.03091,2,1,1,224,104,120,64.70195,7246.61856,104,120,112.00000,8.00000,64.00000,0.07143,jbrsbn292efrzf0txfxq5645794nw.api.daumel.xyz.,xyz,daumel.xyz,45,29,"['j', 'b', 'r', 's', 'b', 'n', '2', '9', '2', 'e', 'f', 'r', 'z', 'f', '0', 't', 'x', 'f', 'x', 'q', '5', '6', '4', '5', '7', '9', '4', 'n', 'w', '.', 'a', 'p', 'i', '.', 'd', 'a', 'u', 'm', 'e', 'l', '.', 'x', 'y', 'z', '.']","['jb', 'br', 'rs', 'sb', 'bn', 'n2', '29', '92', '2e', 'ef', 'fr', 'rz', 'zf', 'f0', '0t', 'tx', 'xf', 'fx', 'xq', 'q5', '56', '64', '45', '57', '79', '94', '4n', 'nw', 'w.', '.a', 'ap', 'pi', 'i.', '.d', 'da', 'au', 'um', 'me', 'el', 'l.', '.x', 'xy', 'yz', 'z.']","['jbr', 'brs', 'rsb', 'sbn', 'bn2', 'n29', '292', '92e', '2ef', 'efr', 'frz', 'rzf', 'zf0', 'f0t', '0tx', 'txf', 'xfx', 'fxq', 'xq5', 'q56', '564', '645', '457', '579', '794', '94n', '4nw', 'nw.', 'w.a', '.ap', 'api', 'pi.', 'i.d', '.da', 'dau', 'aum', 'ume', 'mel', 'el.', 'l.x', '.xy', 'xyz', 'yz.']",0.24444444444444444,"{'0': 1, 'r': 2, '5': 2, 'm': 1, 'n': 2, 'w': 1, 'j': 1, 'f': 3, '.': 4, 'b': 2, 's': 1, 'q': 1, '6': 1, 'y': 1, 'u': 1, 'd': 1, 'i': 1, 'e': 2, '2': 2, 'p': 1, 'x': 3, '4': 2, '9': 2, 'z': 2, '7': 1, 'a': 2, 't': 1, 'l': 1}",4.6583025406779655,7,6,6,1,0.25,0.20930232558139536,1,60,60,60.00000,60.00000,60.00000,1,0,[1],[1],Malicious
2024-12-12 14:57:57.861075_192.168.0.164_56117_192.168.0.1_53_21213,2024-12-12 14:57:57.861075,192.168.0.164,56117,192.168.0.1,53,DNS,0.03435,2,1,1,224,104,120,58.22390,6521.07649,104,120,112.00000,8.00000,64.00000,0.07143,rl8qwqx8xhxj5xgs95bzgc3nua4n0.api.daumel.xyz.,xyz,daumel.xyz,45,29,"['r', 'l', '8', 'q', 'w', 'q', 'x', '8', 'x', 'h', 'x', 'j', '5', 'x', 'g', 's', '9', '5', 'b', 'z', 'g', 'c', '3', 'n', 'u', 'a', '4', 'n', '0', '.', 'a', 'p', 'i', '.', 'd', 'a', 'u', 'm', 'e', 'l', '.', 'x', 'y', 'z', '.']","['rl', 'l8', '8q', 'qw', 'wq', 'qx', 'x8', '8x', 'xh', 'hx', 'xj', 'j5', '5x', 'xg', 'gs', 's9', '95', '5b', 'bz', 'zg', 'gc', 'c3', '3n', 'nu', 'ua', 'a4', '4n', 'n0', '0.', '.a', 'ap', 'pi', 'i.', '.d', 'da', 'au', 'um', 'me', 'el', 'l.', '.x', 'xy', 'yz', 'z.']","['rl8', 'l8q', '8qw', 'qwq', 'wqx', 'qx8', 'x8x', '8xh', 'xhx', 'hxj', 'xj5', 'j5x', '5xg', 'xgs', 'gs9', 's95', '95b', '5bz', 'bzg', 'zgc', 'gc3', 'c3n', '3nu', 'nua', 'ua4', 'a4n', '4n0', 'n0.', '0.a', '.ap', 'api', 'pi.', 'i.d', '.da', 'dau', 'aum', 'ume', 'mel', 'el.', 'l.x', '.xy', 'xyz', 'yz.']",0.17777777777777778,"{'0': 1, 'r': 1, '5': 2, 'm': 1, 'n': 2, 'j': 1, 'w': 1, '.': 4, 'b': 1, 's': 1, 'c': 1, 'h': 1, '3': 1, 'q': 2, 'y': 1, 'u': 2, 'd': 1, 'i': 1, 'e': 1, 'p': 1, 'x': 5, '4': 1, '9': 1, 'z': 2, 'g': 2, '8': 2, 'a': 3, 'l': 2}",4.594863585738559,2,6,4,1,0.2692307692307692,0.18181818181818182,1,60,60,60.00000,60.00000,60.00000,1,0,[1],[1],Malicious
